Name,Stars,Review
Poonam k.,5.0 out of 5 stars,"Easy to use , good quality, premium feeling . Overall a very good product"
1 big bowl sent,4.0 out of 5 stars,Light shiny brownish color. Satisfied with my purchase.
Garvika kaushik,5.0 out of 5 stars,"Delivery on time, Reasonable price... Good product 👍 ⭐⭐⭐⭐⭐"
Dimpal,5.0 out of 5 stars,Dislike: priceLike : colour
Sudeshna Mohapatra,3.0 out of 5 stars,"Despite using color protective shampoos , it hardly lasted for ten days."
Ritu Singh,5.0 out of 5 stars,Best hair color. Makes your hair very shiny and smooth and the conditioner we get with it is just awesome.
Rahul kumar,4.0 out of 5 stars,"The color is staying for a long time and also not printing ur head skin black like a local color, lol"
Manish Rao,5.0 out of 5 stars,Best price
Placeholder,4.0 out of 5 stars,The color cream tube missing in the packet. Photograph attached. Please make a refund
Anup,4.0 out of 5 stars,Good
